MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition
20,RL,80,9600,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Ex,TA,PConc,Gd,TA,No,GLQ,600,Unf,0,300,900,GasA,Ex,Y,SBrkr,856,0,0,856,1,0,2,1,3,1,TA,6,Typ,1,TA,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,,,0,6,2008,WD,Normal
60,RL,70,8500,Pave,,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,6,5,1995,2000,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,Mn,ALQ,500,Unf,0,400,900,GasA,TA,Y,SBrkr,900,500,0,1400,0,0,2,1,3,1,Gd,7,Typ,0,,Detchd,1995,Unf,1,300,TA,TA,Y,100,30,0,0,0,0,,,0,3,2007,WD,Normal
30,RM,60,7200,Pave,,Reg,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,Duplex,1Story,5,6,1978,1985,Hip,CompShg,BrkFace,BrkFace,Stone,80,TA,TA,Slab,NA,NA,No,Unf,0,Unf,0,600,600,GasA,Ex,Y,SBrkr,700,0,0,700,1,0,1,0,2,1,TA,5,Typ,0,,Attchd,1980,Unf,1,250,TA,TA,P,50,20,0,0,0,0,,,0,9,2009,WD,Normal
50,RL,75,11000,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,TA,TA,Av,GLQ,700,Unf,0,250,950,GasA,Gd,Y,SBrkr,900,0,0,900,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2005,RFn,2,500,TA,TA,Y,20,40,0,0,0,0,,,0,5,2010,WD,Normal
120,FV,85,13000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2007,2008,Gable,CompShg,HdBoard,HdBoard,BrkFace,150,Gd,TA,PConc,Gd,TA,Av,ALQ,600,Unf,0,300,900,GasA,Ex,Y,SBrkr,1100,500,0,1600,1,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2007,RFn,2,600,TA,TA,Y,40,20,0,0,0,0,,,0,4,2011,WD,Normal
70,RL,65,9000,Pave,,IR1,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1Story,6,6,1988,1995,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,Rec,300,Unf,0,500,800,GasA,TA,Y,SBrkr,850,0,0,850,0,1,1,0,2,1,TA,5,Typ,1,,Attchd,1988,Unf,1,350,TA,TA,Y,80,10,0,0,0,0,,,0,7,2006,WD,Normal
20,RL,90,14000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2009,Gable,CompShg,CemntBd,CemntBd,BrkFace,200,Ex,TA,PConc,Gd,TA,Av,GLQ,800,Unf,0,350,1150,GasA,Ex,Y,SBrkr,1200,0,0,1200,1,0,2,1,3,1,Ex,7,Typ,1,Gd,Attchd,2009,RFn,3,700,TA,TA,Y,60,30,0,0,0,0,,,0,8,2012,WD,Normal
50,RL,55,6000,Pave,,Reg,Low,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,5,5,1965,1970,Hip,CompShg,WdShing,WdShing,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,500,500,GasA,TA,Y,SBrkr,600,0,0,600,0,0,1,0,2,1,TA,5,Typ,0,,Detchd,1965,Unf,1,200,TA,TA,Y,30,10,0,0,0,0,,,0,2,2006,WD,Normal
30,RM,50,5500,Pave,,IR3,HLS,AllPub,Inside,Sev,BrkSide,Norm,Norm,Duplex,1Story,4,5,1950,1960,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,Slab,NA,NA,No,Unf,0,Unf,0,600,600,GasA,TA,Y,SBrkr,500,0,0,500,0,0,1,0,2,1,TA,4,Typ,0,,Detchd,1950,Unf,1,180,TA,TA,P,20,15,0,0,0,0,,,0,10,2005,WD,Normal
160,RL,95,15000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,1Fam,2Story,9,5,2010,2011,Gable,CompShg,CemntBd,CemntBd,BrkFace,250,Ex,TA,PConc,Gd,TA,Av,GLQ,900,Unf,0,400,1300,GasA,Ex,Y,SBrkr,1400,600,0,2000,1,0,2,1,4,1,Ex,8,Typ,2,Gd,Attchd,2010,RFn,3,800,TA,TA,Y,70,40,0,0,0,0,,,0,9,2013,WD,Normal
